   Loading spin-up weather data from file ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv ...
   Converting raw data from text file: ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2073, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2074, actualYearUsed=1984.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2074, actualYear = 1984, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2075, actualYearUsed=1977.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2075, actualYear = 1977, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2076, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2076, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2077, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2077, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2078, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2078, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2079, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2079, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2080, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2080, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2081, actualYearUsed=1973.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2081, actualYear = 1973, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2082, actualYearUsed=1986.
